wicked	-4.28	0.98
wretched	-4.12	1.01
dreadful	-4.04	1.41
hell	-3.97	1.14
victims	-3.74	1.22
fearful	-3.73	1.45
victim	-3.67	1.07
terrible	-3.66	1.46
cruel	-3.61	1.14
blind	-3.60	0.93
dismal	-3.56	1.38
failing	-3.49	1.66
ugly	-3.46	1.57
murdered	-3.44	1.12
unjust	-3.42	1.17
prey	-3.39	1.62
murder	-3.39	1.51
hostility	-3.39	1.52
frightful	-3.35	1.71
wretch	-3.35	0.85
ridiculous	-3.34	1.40
awful	-3.33	1.71
deed	-3.33	1.50
mischief	-3.31	1.36
foul	-3.30	1.36
helpless	-3.28	1.13
horror	-3.26	1.46
sinking	-3.20	1.48
worst	-3.19	1.56
vulgar	-3.14	1.22
miserable	-3.09	1.40
ignorant	-3.09	0.77
distress	-3.08	1.26
stupid	-3.08	0.78
unnatural	-3.08	1.35
absurd	-3.07	1.34
agony	-3.06	1.27
ruined	-3.06	0.99
violence	-3.02	1.32
struggling	-3.01	0.91
revenge	-3.00	1.35
disaster	-2.98	1.17
sin	-2.94	1.32
injustice	-2.92	1.30
vice	-2.88	1.27
inevitable	-2.87	1.55
desolate	-2.85	1.01
bloody	-2.82	0.92
oppression	-2.82	1.30
error	-2.76	1.49
weak	-2.73	1.09
brute	-2.73	1.36
suspicion	-2.72	1.28
indignant	-2.71	1.52
worse	-2.70	1.17
falsehood	-2.69	0.87
creatures	-2.68	1.10
dependent	-2.68	1.09
feeble	-2.68	1.16
blame	-2.67	1.62
restless	-2.66	1.52
wrath	-2.66	1.69
hatred	-2.66	1.71
frightened	-2.65	1.02
gross	-2.65	1.06
corruption	-2.63	1.48
base	-2.62	0.63
vengeance	-2.60	1.63
affair	-2.60	1.71
painful	-2.59	1.66
jealousy	-2.55	1.64
enormous	-2.54	1.79
hungry	-2.54	1.22
silly	-2.53	0.91
tremendous	-2.52	1.15
consequences	-2.51	1.60
threatening	-2.51	0.83
hard	-2.51	1.64
wreck	-2.50	0.65
wrong	-2.50	1.56
foes	-2.49	1.65
ignorance	-2.48	0.70
arise	-2.48	1.61
dying	-2.47	1.20
danger	-2.47	1.54
temptation	-2.47	1.60
lonely	-2.46	1.20
dread	-2.46	0.79
deserted	-2.45	0.78
errors	-2.45	1.66
evils	-2.44	1.75
scorn	-2.42	1.74
hopeless	-2.42	0.66
folly	-2.41	0.71
bitterness	-2.41	1.56
rage	-2.41	1.86
death	-2.41	0.53
defiance	-2.40	1.87
mad	-2.39	1.58
trifling	-2.39	1.89
false	-2.39	0.57
contempt	-2.38	1.80
creed	-2.37	2.41
fear	-2.35	1.55
fierce	-2.35	1.83
abandoned	-2.35	0.54
fatal	-2.35	0.64
cure	-2.35	1.32
weakness	-2.34	0.49
anger	-2.33	1.86
selfish	-2.33	0.75
strange	-2.32	1.96
fury	-2.31	1.99
curse	-2.30	1.40
shame	-2.30	1.05
deadly	-2.30	0.83
slain	-2.27	0.51
misery	-2.27	0.50
useless	-2.26	0.57
crime	-2.26	1.05
personally	-2.25	1.78
punished	-2.24	0.93
treason	-2.24	0.93
drunk	-2.23	1.69
terror	-2.22	0.80
dumb	-2.21	0.51
dirty	-2.21	0.75
dreary	-2.20	0.81
committed	-2.19	1.14
insult	-2.19	0.67
creature	-2.18	1.17
encounter	-2.18	0.58
beast	-2.17	0.37
prejudice	-2.17	0.92
poverty	-2.16	0.43
agency	-2.16	1.75
sick	-2.16	1.42
commit	-2.15	1.09
endure	-2.13	0.58
doomed	-2.11	0.28
vanity	-2.11	0.70
literally	-2.11	1.90
ruin	-2.10	0.45
disgrace	-2.10	0.54
tyranny	-2.09	0.96
peril	-2.09	0.61
illustrious	-2.07	1.81
crisis	-2.06	0.80
startling	-2.05	2.02
penalty	-2.05	0.90
offensive	-2.05	2.02
bitter	-2.04	0.86
crimes	-2.03	1.12
suffering	-2.03	0.34
